min_lon,min_lat,max_lon,max_lat,Island_Letter,Island_Number,Grid_Number,island_number
-91.6013412475586,-0.3167000114917756,-91.56805092039562,-0.28364776174227396,X,1,274,1
-91.56800842285156,-0.3167000114917756,-91.53471809568859,-0.28364776174227396,X,1,275,1
-91.40135955810548,-0.3167000114917756,-91.3680692309425,-0.28364776174227396,X,1,276,1
-91.10138702392578,-0.3167000114917756,-91.0680966967628,-0.28364776174227396,X,1,277,1
-91.06806182861328,-0.3167000114917756,-91.03477150145031,-0.28364776174227396,X,1,278,1
-90.9014129638672,-0.3167000114917756,-90.8681226367042,-0.28364776174227396,X,1,279,7
-90.86808013916016,-0.3167000114917756,-90.83478981199718,-0.28364776174227396,X,1,280,7
-90.56810760498048,-0.3167000114917756,-90.5348172778175,-0.28364776174227396,X,1,281,7
-91.56800842285156,-0.2833699882030488,-91.53471809568859,-0.2503177384535472,X,1,282,1
-91.53468322753906,-0.2833699882030488,-91.50139290037608,-0.2503177384535472,X,1,283,1
-91.468017578125,-0.2833699882030488,-91.43472725096204,-0.2503177384535472,X,1,284,1
-91.4346923828125,-0.2833699882030488,-91.40140205564951,-0.2503177384535472,X,1,285,1
-91.40135955810548,-0.2833699882030488,-91.3680692309425,-0.2503177384535472,X,1,286,1
-91.1347198486328,-0.2833699882030488,-91.10142952146984,-0.2503177384535472,X,1,287,1
-91.10138702392578,-0.2833699882030488,-91.0680966967628,-0.2503177384535472,X,1,288,1
-90.9014129638672,-0.2833699882030488,-90.8681226367042,-0.2503177384535472,X,1,289,7
-90.56810760498048,-0.2833699882030488,-90.5348172778175,-0.2503177384535472,X,1,290,7
-91.53468322753906,-0.2500399947166443,-91.50139290037608,-0.21698774496714274,X,1,291,1
-91.50135040283205,-0.2500399947166443,-91.46806007566906,-0.21698774496714274,X,1,292,1
-91.468017578125,-0.2500399947166443,-91.43472725096204,-0.21698774496714274,X,1,293,1
-91.4346923828125,-0.2500399947166443,-91.40140205564951,-0.21698774496714274,X,1,294,1
-91.1347198486328,-0.2500399947166443,-91.10142952146984,-0.21698774496714274,X,1,295,1
-90.9014129638672,-0.2500399947166443,-90.8681226367042,-0.21698774496714274,X,1,296,7
-90.86808013916016,-0.2500399947166443,-90.83478981199718,-0.21698774496714274,X,1,297,7
-90.6014404296875,-0.2500399947166443,-90.56815010252451,-0.21698774496714274,X,1,298,7
-90.56810760498048,-0.2500399947166443,-90.5348172778175,-0.21698774496714274,X,1,299,7
